#{"t_start": 1617615569.6735675, "env_id": null}
r,l,t
-0.857143,7,0.525576
-0.833333,8,0.90543
-0.880952,6,1.094505
1.166667,8,1.326488
-0.880952,6,1.530434
-0.809524,9,1.878023
-0.833333,8,2.124871
-0.857143,7,2.365887
-0.833333,8,2.658979
-0.857143,7,2.876047
-9.833333,8,3.111675
1.190476,9,3.381596
-0.833333,8,3.711765
-0.880952,6,3.906321
1.214286,10,4.196611
1.119048,6,4.418721
-0.833333,8,4.673871
-9.833333,8,4.925491
1.166667,8,5.202778
-0.904762,5,5.44363
-0.904762,5,5.634169
-0.904762,5,5.818585
-0.857143,7,6.061774
1.166667,8,6.349349
-0.880952,6,6.529377
-0.833333,8,6.763508
-0.809524,9,7.092989
-0.857143,7,7.316606
-0.857143,7,7.547248
-9.833333,8,7.76419
-0.880952,6,8.022951
-9.880952,6,8.202076
1.214286,10,8.508949
-0.785714,10,8.826011
-0.833333,8,9.16227
-0.857143,7,9.399848
-0.833333,8,9.645353
-0.809524,9,10.002056
-0.880952,6,10.181238
-9.809524,9,10.430989
-0.833333,8,10.74876
-0.880952,6,10.931714
-0.857143,7,11.13758
1.166667,8,11.356685
-9.857143,7,11.605949
-0.809524,9,11.879164
-0.880952,6,12.077325
1.119048,6,12.227074
-0.904762,5,12.443886
-0.880952,6,12.631708
-0.904762,5,12.787073
-0.880952,6,12.970743
-0.880952,6,13.216598
1.095238,5,13.366315
-0.857143,7,13.587446
-0.857143,7,13.81659
-0.833333,8,14.179463
-0.833333,8,14.445326
-0.880952,6,14.639801
1.214286,10,15.004886
-0.857143,7,15.219566
-0.833333,8,15.45733
-0.833333,8,15.706413
-0.857143,7,15.993501
1.166667,8,16.238186
-0.904762,5,16.402126
-0.833333,8,16.693756
-0.857143,7,16.977897
-0.904762,5,17.132688
-0.880952,6,17.324647
1.142857,7,17.512763
-0.809524,9,17.85226
-0.880952,6,18.039296
-0.904762,5,18.213311
1.119048,6,18.39168
-0.857143,7,18.69363
-0.833333,8,18.961046
-0.880952,6,19.167093
-0.857143,7,19.398652
-0.833333,8,19.706664
-0.809524,9,19.993109
-0.880952,6,20.201619
-0.857143,7,20.480196
-0.857143,7,20.695676
-0.809524,9,20.972631
-0.857143,7,21.249827
-0.785714,10,21.562232
-0.833333,8,21.800862
-0.809524,9,22.162746
-0.857143,7,22.414671
-0.857143,7,22.680866
-0.857143,7,22.950117
-0.809524,9,23.318359
1.142857,7,23.540006
1.119048,6,23.716246
-9.833333,8,23.955013
-0.833333,8,24.303208
-0.857143,7,24.553151
-0.857143,7,24.776673
-0.880952,6,25.041698
-0.857143,7,25.261886
-0.857143,7,25.475968
-0.904762,5,25.633385
-0.761905,11,26.047388
-0.833333,8,26.297471
-0.857143,7,26.506268
-0.857143,7,26.802038
-0.880952,6,26.988355
-0.833333,8,27.240335
-0.880952,6,27.431264
-0.785714,10,27.797459
-0.904762,5,27.940148
-0.833333,8,28.167443
-0.857143,7,28.431975
-0.833333,8,28.679995
-9.785714,10,28.959544
1.142857,7,29.146245
-0.857143,7,29.428327
-0.904762,5,29.596064
-0.904762,5,29.771879
1.071429,4,29.871388
-0.809524,9,30.23088
-0.880952,6,30.441405
-0.857143,7,30.657983
-0.833333,8,30.946309
-0.880952,6,31.230997
-0.857143,7,31.448131
-0.857143,7,31.670253
-0.857143,7,31.889952
-0.880952,6,32.156586
-0.857143,7,32.371591
-0.833333,8,32.616805
-0.880952,6,32.863889
-0.880952,6,33.052005
-0.904762,5,33.199888
-0.880952,6,33.377779
1.071429,4,33.472967
-0.880952,6,33.72278
-0.880952,6,33.900331
-0.833333,8,34.143495
-0.857143,7,34.358459
-0.857143,7,34.645119
-0.880952,6,34.828631
1.095238,5,34.950262
-0.880952,6,35.12184
1.214286,10,35.457047
-0.833333,8,35.702797
-0.833333,8,35.929809
-0.809524,9,36.265198
-0.857143,7,36.483799
-0.880952,6,36.699157
-0.880952,6,36.874913
-0.880952,6,37.115884
-0.857143,7,37.31751
-0.738095,12,37.675344
-0.833333,8,37.985926
-0.857143,7,38.201667
-0.880952,6,38.385046
-0.880952,6,38.558014
-0.833333,8,38.887306
-0.833333,8,39.138751
-0.833333,8,39.373566
-0.880952,6,39.618342
-0.833333,8,39.866013
-0.880952,6,40.055779
-9.809524,9,40.283128
-0.904762,5,40.496182
-0.833333,8,40.738419
-0.857143,7,40.946786
-0.857143,7,41.220069
-0.904762,5,41.377684
1.095238,5,41.495065
-0.857143,7,41.698205
-0.880952,6,41.870843
-0.880952,6,42.107561
-0.880952,6,42.286663
-0.857143,7,42.508294
-0.880952,6,42.733965
-0.833333,8,43.033011
-0.833333,8,43.269813
-0.833333,8,43.519448
-0.880952,6,43.706541
1.142857,7,43.94368
1.119048,6,44.088481
-0.904762,5,44.230377
-0.880952,6,44.405439
-0.857143,7,44.68709
-0.833333,8,44.932846
-0.785714,10,45.225173
1.119048,6,45.447661
-0.857143,7,45.663704
-0.857143,7,45.882737
-0.857143,7,46.098473
-0.880952,6,46.344222
-9.809524,9,46.581998
-0.833333,8,46.809873
-0.904762,5,46.955532
-0.809524,9,47.272969
-0.880952,6,47.457115
-0.857143,7,47.659125
-0.904762,5,47.868588
-9.857143,7,48.045891
-0.880952,6,48.218917
-0.857143,7,48.433402
-0.809524,9,48.776753
-0.880952,6,48.962234
-0.857143,7,49.166603
-0.857143,7,49.377628
-0.809524,9,49.710685
-0.785714,10,50.024978
-0.833333,8,50.268075
-0.833333,8,50.586021
-9.809524,9,50.843925
-0.833333,8,51.081226
-0.880952,6,51.32022
-0.809524,9,51.610851
-0.904762,5,51.756617
1.095238,5,51.886573
1.214286,10,52.218429
-0.880952,6,52.397178
-0.833333,8,52.641111
-0.904762,5,52.787335
-0.833333,8,53.1042
1.095238,5,53.233211
-0.904762,5,53.386887
-0.857143,7,53.595023
-0.857143,7,53.87605
-0.880952,6,54.060861
-0.857143,7,54.279573
-0.880952,6,54.464751
-0.904762,5,54.684295
-0.833333,8,54.929601
-0.880952,6,55.118113
1.095238,5,55.25173
1.214286,10,55.594668
-9.833333,8,55.814116
-0.833333,8,56.057529
-0.857143,7,56.265483
-0.809524,9,56.589699
-0.904762,5,56.747937
-9.833333,8,56.972949
-0.880952,6,57.16875
-0.833333,8,57.478347
1.119048,6,57.636325
-0.833333,8,57.888305
-0.857143,7,58.175206
-0.833333,8,58.428959
1.166667,8,58.647857
1.190476,9,58.961405
-0.880952,6,59.144154
-0.880952,6,59.331074
-0.833333,8,59.579782
-0.857143,7,59.863302
-0.880952,6,60.049845
-0.857143,7,60.249742
-0.809524,9,60.527277
1.214286,10,60.886814
-0.785714,10,61.180423
-0.904762,5,61.342485
-0.880952,6,61.594958
-0.857143,7,61.810814
-0.833333,8,62.062564
-0.809524,9,62.41144
-0.785714,10,62.726115
1.142857,7,62.943011
-0.809524,9,63.299204
-0.904762,5,63.465244
-0.904762,5,63.633387
-0.880952,6,63.824302
-9.785714,10,64.117218
-0.833333,8,64.425733
-0.880952,6,64.632732
-0.880952,6,64.833396
1.190476,9,65.168064
-0.857143,7,65.417062
-0.833333,8,65.702148
-0.880952,6,65.903685
-0.785714,10,66.299171
1.095238,5,66.433993
-0.857143,7,66.681744
-0.809524,9,67.057023
-9.857143,7,67.265804
-0.880952,6,67.455534
-0.904762,5,67.617044
-0.880952,6,67.867684
1.142857,7,68.061029
-0.833333,8,68.299052
-0.809524,9,71.042017
1.095238,5,71.25045
-0.904762,5,71.418607
-0.880952,6,71.622262
-0.880952,6,71.856379
1.166667,8,72.136931
-0.809524,9,72.424479
-0.833333,8,72.712852
-0.857143,7,72.946203
-0.833333,8,73.291178
1.142857,7,73.493869
-0.833333,8,73.776497
-0.880952,6,74.046332
-0.880952,6,74.23914
-0.880952,6,74.428682
-0.880952,6,74.625996
-0.880952,6,74.816807
-0.880952,6,75.068711
-0.833333,8,75.323697
-0.857143,7,75.556397
-0.857143,7,75.846563
-0.833333,8,76.111641
-0.833333,8,76.373199
-0.904762,5,76.532027
-0.857143,7,76.815769
-0.880952,6,77.01599
1.095238,5,77.158614
-0.880952,6,77.363296
-0.857143,7,77.642704
-0.880952,6,77.839744
-0.880952,6,78.039889
1.119048,6,78.203079
-0.833333,8,78.521787
-0.880952,6,78.721815
1.071429,4,78.821427
-0.857143,7,79.046697
1.119048,6,79.197418
-0.880952,6,79.45975
1.190476,9,79.729312
-0.833333,8,80.005471
-0.833333,8,80.353751
-0.880952,6,80.566267
-0.857143,7,80.782221
-0.857143,7,81.010704
-0.904762,5,81.239451
-0.761905,11,81.598681
-0.904762,5,81.754949
-0.880952,6,81.946755
1.095238,5,82.150846
-0.880952,6,82.354389
-0.833333,8,82.621466
1.095238,5,82.745216
-0.857143,7,83.022465
-0.857143,7,83.227583
-0.880952,6,83.40545
1.119048,6,83.570094
-0.809524,9,83.915562
-0.833333,8,84.162248
-0.833333,8,84.404997
1.119048,6,84.570326
-0.880952,6,84.821988
-0.904762,5,84.980749
-0.880952,6,85.156837
-0.833333,8,85.40887
-0.904762,5,85.63442
-0.833333,8,85.903456
-0.880952,6,86.097752
-0.809524,9,86.38239
-0.833333,8,86.702646
-0.880952,6,86.905651
-0.880952,6,87.09186
-0.857143,7,87.301495
-0.833333,8,87.610538
-0.809524,9,87.876427
1.071429,4,87.969567
1.142857,7,88.153756
-0.904762,5,88.373427
1.095238,5,88.497457
-0.880952,6,88.677104
-0.833333,8,88.911758
-0.857143,7,89.207283
-0.857143,7,89.414677
-0.833333,8,89.649413
-0.857143,7,89.877031
-0.857143,7,90.155037
1.119048,6,90.303242
-0.785714,10,90.603426
-9.857143,7,90.859052
-0.833333,8,91.111726
-0.785714,10,91.436598
-0.880952,6,91.624687
1.095238,5,91.820359
-0.833333,8,92.068258
-0.880952,6,92.257227
-0.857143,7,92.473936
-0.880952,6,92.725515
-0.880952,6,92.900779
-0.785714,10,93.189416
-0.785714,10,93.571309
-0.785714,10,93.886265
-0.785714,10,94.197856
1.119048,6,94.428022
-0.857143,7,94.648102
-0.904762,5,94.810946
1.190476,9,95.069515
-0.880952,6,95.321535
-0.785714,10,95.623957
-0.857143,7,95.841881
-0.880952,6,96.097938
-0.880952,6,96.294633
-0.857143,7,96.520968
1.142857,7,96.753843
1.214286,10,97.097183
-0.833333,8,97.336691
-0.857143,7,97.559851
-0.809524,9,97.901163
-0.833333,8,98.153922
-0.857143,7,98.370303
1.119048,6,98.530743
1.214286,10,98.885647
-0.857143,7,99.118557
-0.880952,6,99.310072
-0.857143,7,99.518813
-0.880952,6,99.770159
-0.785714,10,100.071818
-0.809524,9,100.347878
-0.785714,10,100.729053
-0.833333,8,100.984969
-0.809524,9,101.337433
-0.880952,6,101.543251
-0.857143,7,101.748248
-0.880952,6,101.92293
-0.809524,9,102.256772
1.190476,9,102.491954
-0.880952,6,102.669267
-0.833333,8,102.921059
-0.809524,9,103.268971
1.166667,8,103.503721
1.119048,6,103.672924
-0.809524,9,104.00841
-0.904762,5,104.16248
1.142857,7,104.380705
-0.857143,7,104.616385
-0.857143,7,104.927418
-0.857143,7,105.15955
1.119048,6,105.308809
1.119048,6,105.482468
-0.809524,9,105.821506
-0.880952,6,105.999494
-0.833333,8,106.239786
-0.833333,8,106.481275
-0.880952,6,106.74051
-0.880952,6,106.925313
1.214286,10,107.222075
-0.809524,9,107.576755
1.238095,11,107.917023
-0.880952,6,108.118781
-0.904762,5,108.278719
-0.880952,6,108.529175
-0.857143,7,108.750703
-0.785714,10,109.081813
-0.880952,6,109.28266
-0.857143,7,109.598179
-0.785714,10,109.911662
-0.833333,8,110.177279
1.190476,9,110.512758
-0.857143,7,110.733611
-0.809524,9,111.018144
-0.833333,8,111.3427
1.166667,8,111.584174
-0.880952,6,111.767956
-0.880952,6,111.943617
-0.857143,7,112.244797
-0.833333,8,112.48922
-0.785714,10,112.802797
1.095238,5,112.996614
-0.785714,10,113.291059
-0.904762,5,113.437436
-0.904762,5,113.592558
1.142857,7,113.842816
-0.833333,8,114.097059
1.166667,8,114.318409
-0.880952,6,114.502902
-0.809524,9,114.837993
1.142857,7,115.034664
-0.904762,5,115.189723
-0.833333,8,115.442734
-9.857143,7,115.703309
-0.857143,7,115.927749
-0.833333,8,116.170683
-0.761905,11,116.566079
-0.809524,9,116.842515
-0.880952,6,117.02049
1.119048,6,117.178941
1.119048,6,117.404773
-0.904762,5,117.563961
-0.857143,7,117.773525
-0.904762,5,117.92072
-0.809524,9,118.251585
-0.785714,10,118.552183
-0.833333,8,118.789287
-0.857143,7,119.078801
-0.857143,7,119.283521
1.166667,8,119.495598
-0.857143,7,119.711313
-0.880952,6,119.95182
-0.880952,6,120.129254
-0.904762,5,120.27764
-0.833333,8,120.532443
-0.809524,9,120.877413
-0.857143,7,121.084219
1.095238,5,121.205534
-0.833333,8,121.456662
-0.833333,8,121.75756
-0.809524,9,122.022144
-0.857143,7,122.245981
1.142857,7,122.507328
-0.857143,7,122.716539
1.095238,5,122.834876
-0.857143,7,123.03793
-9.833333,8,123.336357
-0.809524,9,123.639872
-0.833333,8,123.907155
-0.857143,7,124.197819
-0.833333,8,124.453735
1.119048,6,124.622066
-0.833333,8,124.892359
-0.857143,7,125.1878
-0.904762,5,125.34857
-0.904762,5,125.507923
-0.904762,5,125.677255
1.095238,5,125.841245
1.190476,9,126.17124
-0.857143,7,126.402472
-0.833333,8,126.671412
1.190476,9,126.98225
1.071429,4,127.075314
-0.904762,5,127.233104
-0.880952,6,127.417345
-0.880952,6,127.605839
1.071429,4,127.777113
-0.809524,9,128.081089
-0.880952,6,128.284292
-0.857143,7,128.498112
-0.880952,6,128.759411
-0.785714,10,129.058326
-0.785714,10,129.375239
-0.809524,9,129.721615
-0.880952,6,129.911039
-0.857143,7,130.132601
-0.880952,6,130.320217
-0.857143,7,130.605022
1.142857,7,130.807497
1.142857,7,130.990231
1.214286,10,131.326824
-0.857143,7,131.534317
-0.833333,8,131.785119
-0.809524,9,132.129215
-0.904762,5,132.286004
-0.857143,7,132.493585
-0.880952,6,132.674885
-0.833333,8,132.98014
-0.904762,5,133.135658
-0.833333,8,133.369807
-0.809524,9,133.655348
-0.785714,10,134.028302
1.071429,4,134.125949
-0.904762,5,134.283951
-0.857143,7,134.503269
-0.904762,5,134.665803
-0.809524,9,135.025922
-0.904762,5,135.184722
-0.880952,6,135.376591
-0.857143,7,135.664095
-0.880952,6,135.862826
-0.833333,8,136.109756
-0.857143,7,136.333595
-0.809524,9,136.688361
-0.857143,7,136.909529
-9.857143,7,137.109384
-0.833333,8,137.423022
-0.785714,10,137.734215
-0.833333,8,137.981841
-0.857143,7,138.25593
-0.809524,9,138.529089
-0.833333,8,138.797093
-0.833333,8,139.069704
-0.833333,8,141.826043
1.095238,5,141.957129
-0.809524,9,142.242716
-0.809524,9,142.59931
1.119048,6,142.757724
1.238095,11,143.061236
-0.857143,7,143.288693
-0.809524,9,143.651245
-0.809524,9,143.952818
1.119048,6,144.119227
-0.833333,8,144.436886
1.119048,6,144.618796
-0.833333,8,144.891112
-0.857143,7,145.114709
1.071429,4,145.279338
1.071429,4,145.373076
-0.904762,5,145.518426
-0.904762,5,145.681444
1.142857,7,145.884046
-0.857143,7,146.16946
1.095238,5,146.293612
-0.880952,6,146.477519
-0.833333,8,146.728349
1.119048,6,146.951479
-0.857143,7,147.167431
-0.880952,6,147.352743
1.095238,5,147.479966
-0.833333,8,147.740413
-0.785714,10,148.123959
-0.833333,8,148.386855
-0.809524,9,148.684715
-0.857143,7,148.983147
-0.833333,8,149.251487
-0.880952,6,149.450373
1.142857,7,149.657734
-0.809524,9,150.014996
1.095238,5,150.151417
-0.738095,12,150.538066
-0.880952,6,150.802207
-0.857143,7,151.016308
-0.880952,6,151.204823
-0.880952,6,151.391596
-9.809524,9,151.711231
-0.857143,7,151.929171
1.190476,9,152.18805
-0.880952,6,152.37959
-0.857143,7,152.66389
-0.809524,9,152.954058
1.119048,6,153.118345
1.119048,6,153.284757
-0.880952,6,153.533351
1.166667,8,153.755027
-0.833333,8,154.001139
1.119048,6,154.171157
-0.857143,7,154.447503
-0.833333,8,154.676943
1.166667,8,154.893304
-0.904762,5,155.118424
-0.880952,6,155.319874
-0.857143,7,155.539849
-0.880952,6,155.731883
1.142857,7,155.995902
-0.880952,6,156.180314
1.119048,6,156.338874
-0.833333,8,156.629136
-0.880952,6,156.822318
-0.833333,8,157.144745
1.214286,10,157.415448
1.190476,9,157.678076
-0.857143,7,157.968481
-0.904762,5,158.129991
-0.785714,10,158.436727
1.142857,7,158.632242
-0.809524,9,158.974521
-9.833333,8,159.197685
-0.785714,10,159.507727
1.166667,8,159.785489
-0.857143,7,159.995497
1.071429,4,160.094506
-0.785714,10,160.473175
1.095238,5,160.608177
-0.880952,6,160.802833
-0.809524,9,161.084209
-0.833333,8,161.401271
-0.809524,9,161.714667
1.142857,7,161.910701
-0.833333,8,162.168924
-0.880952,6,162.427482
1.238095,11,162.751281
-0.785714,10,163.075769
-0.880952,6,163.330668
-0.857143,7,163.55546
-0.880952,6,163.745735
-0.904762,5,163.916604
-0.833333,8,164.234822
-9.809524,9,164.486722
1.214286,10,164.777684
-0.809524,9,165.155348
1.071429,4,165.256593
-0.833333,8,165.5069
1.142857,7,165.69106
-0.833333,8,166.004859
1.119048,6,166.154727
1.142857,7,166.342519
1.166667,8,166.572955
-0.880952,6,166.863664
1.166667,8,167.09255
-0.857143,7,167.310788
-0.857143,7,167.533398
-0.880952,6,167.789028
-0.880952,6,167.991266
1.142857,7,168.18209
-0.833333,8,168.431283
-0.857143,7,168.723322
-0.880952,6,168.911721
1.142857,7,169.102538
-0.833333,8,169.347175
-0.833333,8,169.647293
-0.880952,6,169.819381
-0.880952,6,170.004485
1.095238,5,170.135108
1.238095,11,170.51538
-0.833333,8,170.77124
1.190476,9,171.026587
-0.833333,8,171.338032
-0.857143,7,171.557448
1.095238,5,171.686811
-0.833333,8,171.941917
-0.880952,6,172.199287
-0.833333,8,172.448027
-0.833333,8,172.70465
-0.809524,9,173.055439
-0.904762,5,173.216042
-0.904762,5,173.373297
-0.904762,5,173.532595
-0.880952,6,173.725726
-0.880952,6,173.988218
-0.809524,9,174.299869
-0.833333,8,174.571212
-0.833333,8,174.846483
-0.833333,8,175.179772
-0.857143,7,175.398653
-0.880952,6,175.636333
1.142857,7,175.924217
