#{"t_start": 1617615569.6735675, "env_id": null}
-0.880952,6,176.114747
-0.880952,6,176.305194
-0.904762,5,176.464581
-0.833333,8,176.771313
-0.904762,5,176.93518
-0.857143,7,177.162213
-0.857143,7,177.380557
-0.880952,6,177.569905
-0.904762,5,177.799768
-0.761905,11,178.181168
1.119048,6,178.366524
1.166667,8,178.60434
1.142857,7,178.862564
-0.833333,8,179.113542
1.142857,7,179.304087
-0.809524,9,179.681686
-0.857143,7,179.938969
-0.833333,8,180.214675
-0.880952,6,180.432138
-0.880952,6,180.714608
1.119048,6,180.898894
-0.880952,6,181.110847
-0.880952,6,181.286567
1.166667,8,181.599055
-0.880952,6,181.796162
-0.880952,6,181.98708
-0.857143,7,182.216605
-0.880952,6,182.407315
-0.857143,7,182.694633
-0.809524,9,182.986292
-0.904762,5,183.153844
1.214286,10,183.522327
-0.833333,8,183.798708
-0.880952,6,183.976436
-0.904762,5,184.134249
-0.833333,8,184.452982
-0.857143,7,184.672354
1.095238,5,184.809079
-0.857143,7,185.047659
-0.880952,6,185.315464
-0.833333,8,185.572552
-0.857143,7,185.808173
-0.833333,8,186.058579
-0.857143,7,186.351851
-0.880952,6,186.552091
1.166667,8,186.778341
-0.857143,7,186.987146
-0.833333,8,187.300951
-0.857143,7,187.51884
-0.857143,7,187.754149
1.142857,7,187.934472
-0.809524,9,188.294512
-0.857143,7,188.532794
1.119048,6,188.690964
1.142857,7,188.875597
-0.880952,6,189.136283
-9.809524,9,189.417695
-0.880952,6,189.616273
-0.904762,5,189.772501
-0.833333,8,190.095608
-0.809524,9,190.358983
1.238095,11,190.697921
-0.833333,8,191.043245
-0.880952,6,191.253475
-0.880952,6,191.442368
-9.809524,9,191.695774
-0.833333,8,192.035201
1.119048,6,192.189923
1.214286,10,192.481334
1.238095,11,192.901873
-0.880952,6,193.111402
-0.857143,7,193.345438
-0.857143,7,193.572419
-0.857143,7,193.85888
-0.904762,5,194.014264
1.166667,8,194.260746
-0.857143,7,194.508242
1.166667,8,194.794106
-0.857143,7,195.01539
1.142857,7,195.213217
-0.880952,6,195.425149
1.166667,8,195.73119
-0.904762,5,195.894001
1.166667,8,196.143625
-0.809524,9,196.446558
1.142857,7,196.720634
-0.880952,6,196.906549
-0.833333,8,197.15409
-0.857143,7,197.392195
-0.809524,9,197.766335
-0.809524,9,198.066952
1.142857,7,198.256059
-0.880952,6,198.509221
1.238095,11,198.83548
1.166667,8,199.075881
-0.880952,6,199.346839
-0.857143,7,199.589423
-0.857143,7,199.820415
-0.880952,6,200.019375
-0.785714,10,200.409213
1.119048,6,200.564744
-0.857143,7,200.775459
-0.857143,7,201.004893
-0.857143,7,201.290009
-0.785714,10,201.608799
1.119048,6,201.772641
-0.833333,8,202.085639
1.142857,7,202.283505
-0.857143,7,202.507803
1.166667,8,202.73084
1.142857,7,202.926634
-0.857143,7,203.213579
1.142857,7,203.40052
-0.857143,7,203.616996
-0.833333,8,203.869433
1.142857,7,204.13183
-0.833333,8,204.380534
-0.857143,7,204.599952
-0.904762,5,204.760939
-9.833333,8,205.042583
-0.785714,10,205.355258
-0.904762,5,205.50483
-0.880952,6,205.768033
-0.904762,5,205.930496
-0.857143,7,206.147202
1.166667,8,206.386452
1.095238,5,206.526115
-0.809524,9,206.872139
1.119048,6,207.026842
1.142857,7,207.216623
-0.833333,8,207.530642
1.142857,7,207.711241
-0.880952,6,207.889172
1.095238,5,208.010384
-0.880952,6,208.193178
-0.833333,8,208.506554
-0.880952,6,208.705945
-0.904762,5,208.867855
1.095238,5,209.001072
-0.833333,8,209.324918
1.190476,9,209.576083
1.142857,7,209.763186
-0.833333,8,212.271232
1.095238,5,212.465542
-0.904762,5,212.627285
1.142857,7,212.82478
1.166667,8,213.055484
1.142857,7,213.254869
-0.857143,7,213.547482
-0.880952,6,213.744924
1.119048,6,213.918418
-0.833333,8,214.174463
1.190476,9,214.482253
-0.857143,7,214.690101
1.071429,4,214.782408
1.142857,7,214.965849
1.142857,7,215.221471
-0.833333,8,215.469388
1.119048,6,215.631152
1.190476,9,215.876503
-0.857143,7,216.152278
1.095238,5,216.277828
-0.809524,9,216.584435
1.166667,8,216.822831
1.166667,8,217.112112
1.166667,8,217.333563
-0.904762,5,217.489676
1.142857,7,217.686599
1.190476,9,218.008209
-0.904762,5,218.164051
1.119048,6,218.324186
-0.857143,7,218.543625
1.166667,8,218.82576
-0.857143,7,219.034207
-0.833333,8,219.288269
-0.833333,8,219.535842
1.166667,8,219.822973
1.119048,6,219.983712
1.142857,7,220.167102
-0.857143,7,220.388676
-9.785714,10,220.737506
1.119048,6,220.910987
-0.857143,7,221.139134
-0.857143,7,221.368113
1.214286,10,221.733775
1.166667,8,221.95031
1.190476,9,222.201864
-0.833333,8,222.517101
1.119048,6,222.681348
-0.833333,8,222.933718
-0.785714,10,223.250741
1.095238,5,223.444536
1.166667,8,223.667037
-0.833333,8,223.920579
1.071429,4,224.021389
-0.880952,6,224.275307
1.142857,7,224.46409
-0.857143,7,224.686445
-0.809524,9,224.963316
-0.833333,8,225.282454
-0.857143,7,225.505452
1.142857,7,225.701705
-0.809524,9,225.981817
-0.904762,5,226.204085
-0.785714,10,226.492828
-9.785714,10,226.764335
1.166667,8,227.036738
-0.833333,8,227.266958
1.142857,7,227.450492
-0.880952,6,227.626671
1.214286,10,227.962901
1.238095,11,228.271665
-0.880952,6,228.44978
-0.809524,9,228.787918
1.214286,10,229.082636
1.166667,8,229.304923
1.214286,10,229.655874
-0.833333,8,229.906692
-0.880952,6,230.099489
1.095238,5,230.230929
-0.904762,5,230.453929
1.214286,10,230.719759
-0.880952,6,230.896731
-0.880952,6,231.094619
-0.857143,7,231.38511
1.142857,7,231.57845
-0.833333,8,231.82534
1.214286,10,232.108312
-0.857143,7,232.394592
1.119048,6,232.570894
1.142857,7,232.777862
1.166667,8,233.016131
-0.833333,8,233.329681
-0.785714,10,233.659376
1.142857,7,233.864012
1.119048,6,234.032402
1.238095,11,234.411655
-0.904762,5,234.570525
-0.857143,7,234.795134
-0.857143,7,235.083687
-0.809524,9,235.370878
1.214286,10,235.656323
1.142857,7,235.919143
-0.833333,8,236.148968
1.142857,7,236.325916
1.119048,6,236.474947
1.119048,6,236.654261
-0.809524,9,237.001095
1.071429,4,237.099083
-0.880952,6,237.270753
-0.904762,5,237.418524
-0.857143,7,237.69723
-0.833333,8,237.944659
1.142857,7,238.132077
-0.904762,5,238.295573
1.095238,5,238.43221
-0.857143,7,238.714379
1.119048,6,238.882119
-0.761905,11,239.268094
-9.833333,8,239.565704
-0.833333,8,239.82808
-0.785714,10,240.158586
-0.880952,6,240.364514
1.071429,4,240.536076
1.095238,5,240.67618
-0.809524,9,240.97103
1.095238,5,241.104459
1.166667,8,241.400532
-0.833333,8,241.688896
-0.857143,7,241.918634
1.166667,8,242.15627
1.190476,9,242.480529
1.142857,7,242.692784
1.214286,10,242.99026
1.261905,12,243.421888
1.142857,7,243.614264
1.166667,8,243.820712
-0.785714,10,244.125567
1.166667,8,244.414281
-0.809524,9,244.676583
-0.880952,6,244.863899
1.095238,5,244.982916
-0.880952,6,245.224307
-0.809524,9,245.486791
-0.880952,6,245.683671
1.142857,7,245.883051
-0.785714,10,246.288619
1.142857,7,246.48945
1.142857,7,246.72718
-0.880952,6,246.977495
1.238095,11,247.290874
1.190476,9,247.542395
1.119048,6,247.700358
1.166667,8,247.985889
-0.857143,7,248.209975
1.166667,8,248.420698
1.095238,5,248.543675
-0.880952,6,248.801391
1.142857,7,249.005752
1.190476,9,249.287927
-0.904762,5,249.442692
1.095238,5,249.569068
-0.880952,6,249.824723
-0.809524,9,250.110183
-0.880952,6,250.300967
1.142857,7,250.494618
-0.857143,7,250.795542
-9.809524,9,251.050015
-0.880952,6,251.250283
1.166667,8,251.559886
-0.809524,9,251.847154
1.095238,5,251.987854
1.119048,6,252.14992
-0.809524,9,252.498775
1.071429,4,252.599585
1.095238,5,252.727685
1.119048,6,252.886739
-0.833333,8,253.140946
1.214286,10,253.492111
1.095238,5,253.616509
-0.833333,8,253.865152
1.166667,8,254.074838
1.166667,8,254.350551
-0.880952,6,254.526923
1.071429,4,254.640483
1.214286,10,254.959356
-0.904762,5,255.186979
1.071429,4,255.286897
-0.857143,7,255.494305
-0.809524,9,255.764023
-0.880952,6,255.960669
-0.809524,9,256.308329
-0.880952,6,256.494851
-0.857143,7,256.710073
1.214286,10,257.063763
1.166667,8,257.288996
-0.857143,7,257.513018
-0.857143,7,257.74943
-0.833333,8,258.107285
-0.833333,8,258.389635
1.190476,9,258.636029
-0.857143,7,258.915798
1.119048,6,259.066607
-0.904762,5,259.270182
-0.880952,6,259.454712
1.071429,4,259.556386
-0.857143,7,259.774734
1.166667,8,260.055475
-0.785714,10,260.352967
-0.809524,9,260.655768
1.119048,6,260.886235
-0.904762,5,261.051716
-0.833333,8,261.324992
-0.904762,5,261.508884
-0.857143,7,261.829363
-0.809524,9,262.116519
1.142857,7,262.325728
1.142857,7,262.523991
-0.857143,7,262.819076
-0.785714,10,263.143844
-0.880952,6,263.33685
1.119048,6,263.508053
-0.904762,5,263.750165
-9.809524,9,264.006494
-0.857143,7,264.248647
-0.857143,7,264.490299
1.119048,6,264.722787
-0.857143,7,264.946891
1.142857,7,265.145468
1.166667,8,265.368483
-0.857143,7,265.655336
-0.857143,7,265.885696
1.190476,9,266.161722
1.142857,7,266.362264
-0.857143,7,266.637635
-0.857143,7,266.858277
-0.761905,11,267.202695
1.190476,9,267.529315
-0.904762,5,267.687839
1.190476,9,267.952246
-0.809524,9,268.30555
1.071429,4,268.405618
-0.809524,9,268.687994
-0.833333,8,268.946123
1.071429,4,269.045916
-0.833333,8,269.371783
-0.857143,7,269.589981
-0.809524,9,269.858654
1.190476,9,270.172977
-0.809524,9,270.446896
-0.833333,8,270.703512
-0.857143,7,270.941112
-0.857143,7,271.267947
-0.833333,8,271.549201
-0.809524,9,271.867131
1.142857,7,272.130052
1.142857,7,272.33564
1.166667,8,272.612188
-0.857143,7,272.858922
-0.833333,8,273.192768
-0.833333,8,273.441535
-0.880952,6,273.640438
1.119048,6,273.802641
1.190476,9,274.124147
1.261905,12,274.471377
-0.880952,6,274.666675
-9.809524,9,275.010657
-0.857143,7,275.256276
-0.761905,11,275.613998
1.119048,6,275.783542
1.119048,6,276.008102
-0.857143,7,276.223904
1.119048,6,276.39691
1.071429,4,276.502752
-0.857143,7,276.765101
-0.857143,7,277.057086
-0.857143,7,277.278455
-0.833333,8,277.550171
1.071429,4,277.66052
-0.809524,9,278.032546
1.119048,6,278.212473
1.095238,5,278.350327
1.095238,5,280.895976
1.119048,6,281.053349
-0.904762,5,281.270318
-0.880952,6,281.447588
-0.809524,9,281.734933
1.142857,7,281.928387
1.119048,6,282.106272
1.119048,6,282.34806
1.095238,5,282.479474
1.190476,9,282.743205
-0.809524,9,283.085879
-9.785714,10,283.412646
1.095238,5,283.542853
-0.904762,5,283.693357
1.238095,11,284.083898
1.214286,10,284.371047
-0.833333,8,284.629852
1.095238,5,284.757682
-0.833333,8,285.082481
1.095238,5,285.211004
1.214286,10,285.49319
-0.880952,6,285.691429
-0.880952,6,285.950263
1.190476,9,286.200406
1.190476,9,286.446951
-0.880952,6,286.645902
1.166667,8,286.961092
-0.880952,6,287.172992
1.095238,5,287.324867
1.119048,6,287.513283
1.142857,7,287.724765
1.190476,9,288.054516
1.095238,5,288.186569
1.095238,5,288.321451
-0.833333,8,288.589571
-0.857143,7,288.906093
-0.880952,6,289.120595
1.095238,5,289.270134
-0.833333,8,289.570568
1.190476,9,289.900084
1.214286,10,290.24826
-0.833333,8,290.562035
-0.857143,7,290.810548
1.214286,10,291.165888
-0.857143,7,291.382093
1.142857,7,291.580554
-0.833333,8,291.908602
-0.857143,7,292.137545
-0.880952,6,292.349624
-0.833333,8,292.624917
-0.880952,6,292.878243
1.142857,7,293.078495
-0.880952,6,293.287873
-0.857143,7,293.528382
1.166667,8,293.833356
-0.880952,6,294.036302
-0.880952,6,294.224138
-0.904762,5,294.380992
-0.880952,6,294.570563
-0.785714,10,294.972608
1.119048,6,295.141383
1.119048,6,295.302927
-0.833333,8,295.623421
-0.833333,8,295.882668
-0.857143,7,296.127125
-0.809524,9,296.421698
1.071429,4,296.58894
-0.809524,9,296.8856
1.166667,8,297.12667
1.238095,11,297.524231
-0.880952,6,297.724963
-0.880952,6,297.914881
-0.857143,7,298.177169
-0.785714,10,298.598006
1.119048,6,298.779533
1.190476,9,299.055315
1.095238,5,299.183553
-0.880952,6,299.36768
-0.857143,7,299.670719
1.119048,6,299.837237
-0.904762,5,299.996943
-0.785714,10,300.328892
1.119048,6,300.565089
-0.833333,8,300.806346
-0.904762,5,300.973103
-0.785714,10,301.386408
1.166667,8,301.658518
-0.904762,5,301.832193
-0.809524,9,302.124407
-0.809524,9,302.499803
-0.857143,7,302.74773
1.119048,6,302.919068
1.071429,4,303.027974
1.166667,8,303.275523
1.166667,8,303.593192
1.214286,10,303.894945
-0.857143,7,304.115797
-9.761905,11,304.548478
-0.880952,6,304.751556
1.214286,10,305.087556
-0.833333,8,305.375144
1.119048,6,305.641309
1.166667,8,305.872876
-0.880952,6,306.065899
-0.785714,10,306.395648
-0.833333,8,306.739109
1.095238,5,306.88279
-0.809524,9,307.191306
1.166667,8,307.493937
1.166667,8,307.728012
-0.857143,7,307.967145
1.119048,6,308.138959
-0.857143,7,308.420257
1.095238,5,308.544919
1.166667,8,308.753114
1.166667,8,308.973269
-0.833333,8,309.223214
1.071429,4,309.399105
1.119048,6,309.572831
1.190476,9,309.825673
1.142857,7,310.031032
1.119048,6,310.190838
1.095238,5,310.387111
1.095238,5,310.518056
-0.857143,7,310.735991
-0.785714,10,311.046986
-0.880952,6,311.300844
1.142857,7,311.491811
-0.833333,8,311.737894
-0.785714,10,312.11117
1.142857,7,312.314579
-0.880952,6,312.50958
-0.833333,8,312.773992
-0.785714,10,313.169652
-0.880952,6,313.368778
-0.833333,8,313.635873
-0.880952,6,313.835185
1.071429,4,314.003306
1.119048,6,314.17392
-0.833333,8,314.445031
-0.880952,6,314.626141
-0.833333,8,314.931634
-0.857143,7,315.150757
-0.880952,6,315.33865
-0.857143,7,315.561585
1.142857,7,315.813011
1.238095,11,316.102874
-0.880952,6,316.274154
1.095238,5,316.396085
-0.880952,6,316.643039
1.095238,5,316.76532
-0.833333,8,316.996711
-0.904762,5,317.144741
-0.809524,9,317.417888
-0.857143,7,317.71856
1.095238,5,317.853444
-0.785714,10,318.172553
1.214286,10,318.532025
1.119048,6,318.70797
1.119048,6,318.890325
-0.880952,6,319.089047
-0.833333,8,319.356492
1.095238,5,319.570964
1.095238,5,319.714812
-0.785714,10,320.034172
1.095238,5,320.168477
1.142857,7,320.425031
1.190476,9,320.699767
1.142857,7,320.930388
1.142857,7,321.150739
-0.857143,7,321.454182
1.142857,7,321.673907
1.142857,7,321.880161
-0.785714,10,322.243614
1.095238,5,322.4581
-0.880952,6,322.678258
1.095238,5,322.840208
-0.857143,7,323.104092
1.166667,8,323.340292
1.142857,7,323.606262
-0.880952,6,323.79975
1.142857,7,323.995158
1.071429,4,324.095181
1.214286,10,324.48029
1.166667,8,324.725096
-0.833333,8,324.996085
1.166667,8,325.240852
-0.880952,6,325.550266
-0.880952,6,325.753805
1.166667,8,325.996653
-0.809524,9,326.388038
1.142857,7,326.598838
1.142857,7,326.804113
-0.880952,6,326.998436
-0.880952,6,327.2033
-0.857143,7,327.502986
1.214286,10,327.81129
-0.857143,7,328.041524
1.119048,6,328.20206
1.190476,9,328.534959
1.095238,5,328.682869
1.166667,8,328.934908
-0.880952,6,329.136003
1.190476,9,329.490664
-0.833333,8,329.771167
-0.880952,6,330.009228
1.166667,8,330.271497
-0.880952,6,330.549836
-0.785714,10,330.887903
1.190476,9,331.158559
1.142857,7,331.422956
-0.857143,7,331.658435
1.142857,7,331.863762
1.095238,5,331.998454
1.119048,6,332.170559
1.095238,5,332.307053
1.095238,5,332.517622
-0.833333,8,332.796718
-0.809524,9,333.0967
1.095238,5,333.232119
1.166667,8,333.538324
-0.857143,7,333.769361
1.142857,7,333.973549
-9.833333,8,334.212673
-0.785714,10,334.629581
1.214286,10,334.945316
1.142857,7,335.137373
-0.880952,6,335.405446
-0.857143,7,335.646218
1.071429,4,335.75648
1.190476,9,336.032203
-0.904762,5,336.192802
-0.880952,6,336.472692
1.095238,5,336.655962
-0.857143,7,336.923563
-0.904762,5,337.093473
1.119048,6,337.265457
-0.833333,8,337.62237
-0.785714,10,337.977563
-0.904762,5,338.1551
1.095238,5,338.286466
1.142857,7,338.568028
-0.904762,5,338.764819
-0.880952,6,338.957572
1.095238,5,339.089936
1.214286,10,339.471655
-0.809524,9,339.746454
-0.880952,6,339.93861
-0.833333,8,340.196771
-0.833333,8,340.531168
1.190476,9,340.813841
1.190476,9,341.066995
-0.785714,10,341.48491
1.119048,6,341.648221
-0.857143,7,341.854619
-0.904762,5,342.033671
1.095238,5,342.175141
-0.857143,7,342.48273
-0.857143,7,342.726801
1.190476,9,343.027981
1.190476,9,343.438345
-0.833333,8,343.70522
-0.809524,9,343.992759
1.166667,8,344.289366
-0.857143,7,344.524948
1.119048,6,344.700912
1.119048,6,344.881876
1.166667,8,345.132745
1.071429,4,345.241064
1.214286,10,345.642235
1.119048,6,345.809799
-0.857143,7,346.02386
1.190476,9,346.358546
-0.809524,9,346.657952
-0.880952,6,346.856707
1.095238,5,346.998567
-0.857143,7,347.309857
1.142857,7,347.523008
1.142857,7,347.740495
-0.785714,10,348.08972
-0.833333,8,348.439286
-0.857143,7,348.679843
-0.904762,5,348.850382
-0.857143,7,349.085488
-0.857143,7,349.388386
-0.880952,6,349.5992
-0.857143,7,349.835819
